eci,S_ENBID,S_CELLID,S_PCI,S_EARFCN,scTotal,NcTotal,AdjLT-10db,Adj-10db,Adj-9db,Adj-8db,Adj-7db,Adj-6db,Adj-5db,Adj-4db,Adj-3db,Adj-2db,Adj-1db,Adj0db,Adj1db,Adj2db,Adj3db,Adj4db,Adj5db,Adj6db,AdjGT6db,GE-10,GE-6,TotalNei,NeiGE-10,NeiGE-6,AdjTotal,Adj-10db,Adj-6db,overlap6db,overshoot6db,avg_adj_report_times,dbmtotal,dbmavg,overlap1_num,overlap1_rate,overlap2_num,overlap2_rate,overlap3_num,overlap3_rate,overlap4_num,overlap4_rate,overlap5_num,overlap5_rate,overlap6_num,overlap6_rate,overlap7_num,overlap7_rate,overlap8_num,overlap8_rate,cmccoverlap_num,cmccoverlap_rate,500M,1000M,1500M,AVG-Distance,SinrUL
175159809,684218,1,471,38400,115205,76366,22630,4811,5118,5626,5674,5816,5742,5341,4382,3669,2807,2025,1136,614,359,215,126,97,178,53736,32507,179,75,40,10529,9033,6351,43,60,0.6,5097671,-96,25475,0.221127555227638,6133,0.053235536652055,845,0.00733475109587258,50,0.000434008940584176,4,3.47207152467341e-005,0,0,0,0,0,0,422,0.00366303545853045,0.965938978342954,0.0340349811206111,2.60405364350506e-005,257,35.4495638210147
175159810,684218,2,473,38400,52136,46190,10944,2461,2770,3413,4290,4953,4517,3717,2847,2304,1645,982,632,305,154,80,51,43,82,35246,22312,192,79,47,21384,15930,10647,48,50,0.8,2228772,-97,16663,0.319606413994169,5064,0.0971305815559306,499,0.00957112168175541,75,0.00143854534294921,11,0.000210986650299217,0,0,0,0,0,0,301,0.0057733619763695,0.945776430873101,0.0397230320699708,0.014500537056928,316,35.3553590609176
175159811,684218,3,472,38400,49212,34930,6779,1600,1960,2672,2906,3268,3695,3045,2666,2050,1542,1059,749,384,244,107,78,43,83,28151,19013,220,117,57,12238,6882,3763,54,31,0.7,2024178,-99,13085,0.265890433227668,4217,0.0856904819962611,1414,0.0287328293912054,240,0.00487685930260912,41,0.000833130130862391,14,0.000284483459318865,2,4.06404941884093e-005,0,0,611,0.0124156709745591,0.671929610664066,0.31476062748923,0.0133097618467041,542,35.0730716085508
179631105,701684,1,150,38400,93794,108549,16955,5264,6212,7397,8375,7926,8129,8222,7821,7057,6477,5648,4575,3092,1945,1237,801,497,919,91594,64346,242,141,88,11255,3057,1780,59,16,1.1,5051497,-86,39681,0.423065441286223,16316,0.173955690129433,5922,0.0631383670597266,1953,0.0208222274345907,408,0.00434995841951511,59,0.000629038104782822,7,7.46316395505043e-005,0,0,5232,0.0557818197326055,0.672559012303559,0.196067978761968,0.131373008934473,671,35.700492568821
179631106,701684,2,151,38400,49616,69946,17407,3124,3575,5035,6875,6750,5964,5254,4445,3681,2754,1936,1286,741,449,254,123,99,194,52539,33930,289,83,42,25970,18916,8295,49,32,1.4,2526689,-89,23175,0.46708722992583,7606,0.15329732344405,2509,0.0505683650435343,554,0.0111657529829087,77,0.00155191873589165,9,0.000181393099000322,0,0,0,0,2205,0.044441309255079,0.832715253144147,0.160976297968397,0.00630844888745566,427,35.8052644308288
179631107,701684,3,152,38400,97388,109390,30590,5798,5965,7228,9361,9420,9224,7891,6632,5287,3879,3045,2095,1368,755,370,195,114,173,78800,50448,233,110,74,28133,18318,7238,46,26,1.1,4525897,-94,35969,0.369337084651086,10620,0.109048342711628,3077,0.0315952684108925,686,0.00704398899248367,83,0.000852261058857354,10,0.000102682055284019,2,2.05364110568037e-005,1,1.02682055284019e-005,1725,0.0177126545364932,0.249086129707972,0.744516778247833,0.00639709204419436,716,35.5999917854356
179673857,701851,1,211,38400,115153,86830,21687,4031,4526,7182,8426,7077,6704,6296,5523,4338,3669,2604,2308,1475,508,218,106,65,87,65143,40978,194,59,40,13751,13595,12856,47,93,0.7,4734694,-99,30198,0.262242407926845,8639,0.0750219273488315,1710,0.014849808515627,370,0.00321311646244562,54,0.000468941321546117,7,6.07886898300522e-005,0,0,0,0,658,0.00571413684402491,0.210467812388735,0.777096558491746,0.0124356291195192,685,35.3912360077462
179673858,701851,2,212,38400,39157,39472,1991,534,756,1711,2808,3447,5212,5443,5275,4143,2881,1961,1289,737,455,289,187,132,221,37481,31672,120,53,40,10626,7437,5860,80,55,1,2292272,-81,23139,0.590928824986592,4939,0.126133258421227,2533,0.0646883060500038,915,0.023367469417984,130,0.00331996833260975,14,0.000357535051204127,2,5.10764358863039e-005,0,0,2166,0.0553157800648671,0.853563858313967,0.126541869908318,0.0198942717777154,332,35.8706744643359
179673859,701851,3,210,38400,51463,101785,14064,3550,4300,5759,7228,8442,8852,8622,8592,8397,7356,5826,4056,2651,1587,931,522,378,672,87721,66884,166,86,46,8490,7781,5917,66,70,1.9,2431668,-93,30016,0.583253988302275,20895,0.406019858927773,11047,0.214659075452267,4078,0.0792413967316324,757,0.014709597186328,83,0.00161280920272817,7,0.000136020053242135,1,1.94314361774479e-005,8343,0.162116472028448,0.620426325709733,0.376134310086858,0.00343936420340827,662,35.544896333288
210669953,822929,129,183,38400,172284,233687,60100,13181,14181,16454,18695,18933,19119,18154,16235,14009,10144,6668,4113,2090,883,394,163,74,97,173587,111076,327,116,48,9141,7127,4704,48,51,1.3,6651716,-101,81606,0.473671379814725,23056,0.133825543869425,5589,0.0324406212997144,790,0.00458545192821156,35,0.00020315293352836,0,0,0,0,0,0,4133,0.0239894592649346,0.987503192403241,0.0114520210814701,0.00104478651528871,268,35.6051113278076
210669954,822929,130,184,38400,244313,235098,50896,13288,14690,17313,19997,20914,20055,18448,16282,13706,10994,7946,4851,2719,1348,644,373,232,402,184202,118914,397,161,93,73228,52148,30366,51,41,0.9,10583365,-97,82525,0.337783908347079,27496,0.112544154424857,6850,0.0280378039645864,1655,0.00677409716224679,308,0.00126067790088943,67,0.00027423837454413,11,4.50242107460512e-005,2,8.18622013564567e-006,5818,0.0238137143745932,0.918321988596595,0.0779123501410076,0.00376566126239701,327,35.374650550728
210669955,822929,131,185,38400,139213,152629,45853,7869,8633,9940,11941,12253,12082,11215,9731,8162,6084,4121,2528,1257,521,186,97,57,99,106776,68393,336,96,41,27147,20578,13718,45,51,1,6321781,-95,46727,0.335651124535783,16850,0.121037546780832,4070,0.0292357753945393,721,0.00517911401952404,23,0.000165214455546537,2,1.4366474395351e-005,0,0,0,0,2862,0.0205584248597473,0.931967560500815,0.068025256261987,7.1832371976755e-006,269,35.8000474093655
210719873,823124,129,113,38400,199332,215158,57509,10430,11831,17501,21343,20190,17818,14921,12632,10357,7715,5284,3560,2042,955,446,229,134,261,157649,96544,288,150,73,14960,11427,7861,45,53,1,9085334,-94,69015,0.34623141291915,21786,0.109295045451809,4542,0.0227861055926795,1013,0.00508197379246684,181,0.000908032829651034,7,3.51172917544599e-005,0,0,0,0,3026,0.0151807035498565,0.953158549555515,0.042065498765878,0.00477595167860655,353,35.8087311620814
210719874,823124,130,112,38400,160473,164792,34325,7067,8378,10043,12072,12983,13319,13323,12694,12157,10401,7450,4631,2672,1440,753,432,229,423,130467,92907,323,111,71,30817,25533,18382,56,60,1,7477034,-93,64535,0.402154879637073,20581,0.128252104715435,5798,0.0361306886516735,1539,0.00959039838477501,337,0.00210004175157192,102,0.00063562094557963,13,8.10105126719137e-005,2,1.2463155795679e-005,4435,0.0276370479769182,0.847912109825329,0.150785490394023,0.00130239978064846,351,35.5726757772336
210719875,823124,131,111,38400,204304,218677,46972,9205,10924,13942,17796,18220,18341,17464,17278,14357,12275,9173,5625,3394,1693,831,380,302,505,171705,119838,405,191,127,55551,45623,30307,55,55,1,9015009,-96,87250,0.427059675777273,26295,0.128705262745712,5069,0.0248110658626361,1026,0.00502192810713447,159,0.00077825201660271,33,0.000161524003445845,6,2.93680006265173e-005,0,0,3779,0.0184969457279348,0.844202756676325,0.147965776489937,0.00783146683373796,395,35.7003387109406
